52239 | 2001 | SYN | 15 | 2022-11-21 11:29:47,898
2001 | 52239 | SYN/ACK | 15 | 2022-11-21 11:29:47,898
52239 | 2001 | ACK | 15 | 2022-11-21 11:29:47,898
37928 | 34841 | DATA | 1000 | 2022-11-21 11:29:47,899
34841 | 37928 | ACK | 15 | 2022-11-21 11:29:48,740
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:48,740
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:48,740
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:48,740
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:48,740
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:48,741
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:49,512
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:49,512
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:51,041
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:51,041
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:51,041
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:51,833
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:51,833
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:52,404
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:52,404
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:53,135
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:53,136
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:53,136
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:53,136
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:54,540
37928 | 34841 | ACK | 15 | 2022-11-21 11:29:55,411
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:55,412
34841 | 37928 | DATA | 1000 | 2022-11-21 11:29:57,331
54223 | 2001 | SYN | 15 | 2022-11-21 11:29:58,435
2001 | 54223 | SYN/ACK | 15 | 2022-11-21 11:29:58,435
54223 | 2001 | ACK | 15 | 2022-11-21 11:29:58,436
57820 | 36568 | DATA | 1000 | 2022-11-21 11:29:58,436
36568 | 57820 | ACK | 15 | 2022-11-21 11:29:58,437
36568 | 57820 | DATA | 1000 | 2022-11-21 11:29:58,437
