40874 | 50351 | ACK | 15 | 2022-11-21 11:27:14,087
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:14,087
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:14,909
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:14,909
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:14,909
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:14,909
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:14,909
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:14,909
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:15,571
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:15,571
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:15,571
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:15,571
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:16,292
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:16,292
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:16,293
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:16,293
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:16,293
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:16,293
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:16,884
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:16,884
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:17,395
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:17,395
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:18,146
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:18,147
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:18,147
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:18,147
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:18,858
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:18,858
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:19,600
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:19,600
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:21,499
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:22,110
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:22,110
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:22,911
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:22,912
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:22,912
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:22,912
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:22,912
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:22,912
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:23,513
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:23,513
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:24,405
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:24,405
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:25,326
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:25,327
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:25,327
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:25,327
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:25,327
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:25,327
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:26,309
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:26,309
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:26,309
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:26,309
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:27,160
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:27,161
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:27,962
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:27,962
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:28,603
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:28,603
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:30,753
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:31,364
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:31,364
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:31,364
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:31,364
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:32,166
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:32,166
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:32,166
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:32,166
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:32,166
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:32,166
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:32,747
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:32,747
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:33,699
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:33,699
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:33,699
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:33,699
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:34,421
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:34,421
40874 | 50351 | ACK | 15 | 2022-11-21 11:27:35,072
50351 | 40874 | DATA | 1000 | 2022-11-21 11:27:35,072
